dateTime,sampleTimeSeconds,LPOPmMid,LPOPm10,ratioPmMid,ratioPm10,concentrationPmMid,concentrationPm2_5,concentrationPm10
2020-08-19 01:14:17.726814,30,9101604,12609196,30.34,42.03,42996.34,53822.54,96818.88
2020-08-19 01:14:47.748663,30,8979328,11820740,29.93,39.40,41656.28,40225.80,81882.09
2020-08-19 01:15:17.770601,30,10020776,12903060,33.40,43.01,54125.36,48730.90,102856.27
2020-08-19 01:15:47.792452,30,11766832,14681976,39.22,48.94,80925.88,64360.34,145286.22
2020-08-19 01:16:17.829603,30,8132668,11429328,27.11,38.10,33218.97,41903.21,75122.19
2020-08-19 01:16:47.851369,30,9345368,11879344,31.15,39.60,45763.76,37167.06,82930.82
2020-08-19 01:17:17.873340,30,8137164,10744248,27.12,35.81,33260.03,31020.76,64280.79
2020-08-19 01:17:47.895117,30,11952380,14588972,39.84,48.63,84251.41,58553.72,142805.13
2020-08-19 01:18:17.916917,30,7924560,10974168,26.42,36.58,31359.72,36422.63,67782.35
2020-08-19 01:18:47.954039,30,9961532,13026464,33.21,43.42,53349.84,52120.42,105470.26
2020-08-19 01:19:17.976018,30,9119584,11997664,30.40,39.99,43196.07,41881.73,85077.80
2020-08-19 01:19:47.997792,30,11682496,14707952,38.94,49.03,79446.24,66538.49,145984.73
2020-08-19 01:20:18.019743,30,8286108,11658232,27.62,38.86,34642.50,44381.63,79024.13
2020-08-19 01:20:48.057017,30,11285308,14215612,37.62,47.39,72740.16,60405.98,133146.14
2020-08-19 01:21:18.078882,30,9368664,11997880,31.23,39.99,46035.03,39046.75,85081.77
2020-08-19 01:21:48.100505,30,4889608,7239120,16.30,24.13,12229.15,13562.22,25791.38
2020-08-19 01:22:18.122343,30,5466128,8179368,18.22,27.26,14867.48,18779.96,33647.45
2020-08-19 01:22:48.144172,30,7586996,10776448,25.29,35.92,28513.54,36249.45,64762.99
2020-08-19 01:23:18.165825,30,3512832,6256392,11.71,20.85,7334.55,11834.81,19169.36
2020-08-19 01:23:48.187570,30,2240840,4812048,7.47,16.04,4131.15,7772.28,11903.42
2020-08-19 01:24:18.209513,30,6846956,9852660,22.82,32.84,22966.67,28979.47,51946.14
2020-08-19 01:24:48.231277,30,6502756,9260716,21.68,30.87,20689.32,24098.77,44788.09
